 Procedimentos hospitalares do SUS - por local de internação - Rio Grande do Sul
Valor total por Município e Ano/mês processamento
Período:Jan/2008-Abr/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"430003 Aceguá";21427,56;18618,02;25311,43;22561,91;22279,18;26251,53;26185,84;20266,58;20322,59;24175,98;25332,02;17798,89;29661,60;33022,05;30765,31;31900,43;29666,82;28390,56;27420,45;29480,31;26143,81;33796,17;31601,02;20602,56;20451,20;27048,54;27676,99;29027,47;28275,80;27314,34;29063,27;29256,98;24405,47;32856,45;21380,49;26174,07;20150,66;33291,06;27770,16;25042,24;5042,72;46524,84;30815,19;28649,95;24601,33;28888,46;27751,16;27195,73;29485,43;30029,32;27586,62;28067,19;30397,03;30140,31;30101,38;30243,53;29969,42;31933,11;32984,94;34206,96;31966,15;30754,49;39117,73;53029,78;59664,99;61152,53;67017,57;59029,79;56447,74;62259,65;-;133617,49;57462,34;34346,85;72550,07;46809,25;44995,28;46159,10;68293,81;72093,38;68256,82;70477,81;57571,84;63646,27;63145,04;43912,21;45335,91;40844,43;43408,84;42915,36;53159,72;52046,41;41242,87;43310,67;43566,54;45924,60;33214,27;30405,40;26574,56;23227,27;27395,04;23884,84;25531,53;25258,54;27730,42;26510,97;22269,50;23894,81;22920,46;21516,65;20504,99;22182,56;26745,95;27198,63;27636,97;25408,41;18388,02;18296,11;30796,11;25304,83;23390,96;19211,20;25973,24;28898,28;27681,23;27187,53;29324,05;25989,78;24112,83;24943,95;23015,49;29784,30;16702,93;13995,79;17450,16;18389,78;31322,33;28371,37;34611,44;23388,25;28828,35;18936,51;16983,02;19493,65;16595,04;17747,37;15207,94;12361,56;15864,11;12893,00;12800,37;11772,93;12232,27;18942,16;10672,01;18192,63;14402,29;15681,71;14297,54;52311,82;5005073,77
"430010 Agudo";43645,99;46808,02;46007,12;35220,52;45605,87;33901,95;33299,78;43743,62;37428,64;40998,57;38652,80;42159,39;30153,73;39887,40;36916,83;46476,00;39753,20;37195,81;43248,45;48484,18;37380,23;42267,48;35455,41;31781,33;43788,69;44368,82;41408,54;41746,28;29818,97;35408,39;43357,30;47625,40;42906,15;42024,39;44113,08;40591,95;41498,70;33045,76;39258,96;40922,52;33649,03;43705,10;34656,99;42140,34;45585,66;28144,93;19510,19;47416,76;32303,06;34822,14;30045,25;24218,54;27773,79;62469,15;29173,62;47256,74;42465,68;27153,36;38391,51;46954,20;34628,99;39402,75;26785,35;57331,70;41561,24;25409,73;38989,33;55441,25;41293,66;50995,87;51573,31;88167,50;47123,20;38660,89;49420,15;42903,59;41773,48;44403,85;50859,08;54165,23;50228,15;75685,42;41999,81;93105,59;38359,73;56306,95;50413,82;49328,82;45197,52;38443,38;68609,30;66181,86;52383,91;-;143673,31;74600,55;80474,60;54736,27;61437,00;53379,89;43086,77;40797,80;56966,15;60048,33;83449,54;70980,13;63295,18;78781,18;28188,28;30391,55;49538,87;32019,28;21288,66;47448,20;70701,24;46844,51;63554,76;63103,33;38719,39;65122,53;47425,89;39222,54;55167,27;44243,24;62232,72;51063,02;82744,01;36516,58;56618,15;53694,19;48367,03;40699,24;29699,89;39882,78;38234,23;44830,25;47450,49;41776,04;45793,92;52320,69;51934,29;57194,28;57026,55;48687,47;41229,63;39141,68;42095,38;38350,99;37205,80;47163,65;49823,22;34421,39;47501,72;59758,85;39752,46;43983,87;57314,27;71419,32;78856,33;79636,61;7496433,90
"430020 Ajuricaba";14574,05;15448,57;13243,31;13347,17;14520,46;19626,83;14583,08;13295,02;11686,82;16225,09;15269,17;15022,91;15454,53;15856,88;15386,79;10463,51;12898,42;12863,02;11625,98;14465,79;17084,95;13889,61;12284,30;16277,16;18574,93;11645,19;12822,91;14282,43;14584,38;11440,37;14532,40;15483,72;13191,16;12106,28;12809,49;15014,29;14642,51;12800,21;13863,49;15032,23;13975,14;13905,21;6940,48;13381,16;14042,06;11675,60;11667,31;14357,97;7772,80;7755,38;8932,63;8891,88;10769,90;10916,14;11943,43;16479,10;16065,40;12868,27;11840,55;10762,40;13395,34;11978,85;11450,99;10564,63;7531,94;14130,86;12821,53;11656,79;13908,31;11250,93;8860,16;7172,30;8816,81;9247,08;11593,84;10270,13;6143,96;9561,77;17136,17;9817,05;11170,13;13369,54;9256,36;12010,46;12484,02;8133,35;8735,66;11528,30;11369,95;10509,27;10317,31;11140,20;9747,11;7063,99;6820,21;6812,33;6929,49;8029,32;9218,37;6330,21;10947,99;7762,09;20096,63;15971,23;11892,07;8145,88;9452,69;12200,11;8174,06;11759,56;10206,25;10663,69;11183,75;13418,51;6295,83;11785,71;11873,30;9904,95;8210,71;7432,67;6041,49;-;18666,68;10619,32;9128,17;7191,35;5372,37;11372,23;16825,81;11100,94;5304,73;4074,81;5855,13;2667,02;2096,95;4590,55;5953,49;8231,68;7198,41;9418,66;11740,53;9094,63;7928,55;8778,48;5623,25;7044,84;8334,67;1100,66;4969,73;4469,64;4576,84;4246,67;11706,06;12296,16;3972,47;19607,40;19526,74;5567,81;19382,28;30577,53;1781079,65
"430030 Alecrim";18644,27;10850,05;13253,58;15109,15;11308,77;9484,74;13864,38;14251,48;12485,20;8403,24;12321,15;14519,65;9569,93;11526,97;13985,85;10276,23;1483,38;28292,39;17845,77;25732,24;17106,79;21588,30;11951,89;12845,73;13819,30;12247,78;10150,90;11632,64;10576,33;12910,67;12258,62;16012,75;16127,52;15626,39;18521,88;13940,24;12549,92;14031,73;19469,00;17797,92;20722,52;17177,65;16997,15;24262,84;14642,95;18827,44;13108,45;25205,88;11591,66;16299,22;21535,29;17752,55;14895,52;18429,65;14115,74;25731,98;14642,35;15128,81;20210,66;17046,94;11723,26;15003,38;13413,46;23642,19;20782,99;18191,10;28214,73;20149,28;23451,17;26031,93;26048,20;23143,74;14179,69;12916,51;14885,76;16351,31;20438,35;22665,50;16638,61;27633,57;27239,64;13286,71;25132,30;17278,41;15372,61;16389,09;15786,76;22183,37;13706,63;18536,91;22746,54;26089,67;22558,95;18041,36;26006,75;18463,16;17172,38;16337,41;14455,39;22508,11;13726,45;20237,22;26416,58;23021,73;19562,21;17580,97;17743,52;20917,41;18992,10;20371,39;16869,47;19453,36;20075,73;22328,45;21798,69;20701,92;21843,71;20165,86;17895,89;19060,23;17859,56;17532,70;16941,52;16086,81;16817,89;17702,94;20432,93;18442,20;17956,19;20130,45;19172,10;20799,65;19669,51;19350,85;20936,20;21558,18;27554,00;24669,39;19797,95;23624,46;19998,07;22404,94;20559,76;20795,46;20940,36;22548,06;19707,56;19957,87;21527,84;20046,12;18988,29;26887,44;24171,64;28880,58;30913,88;46895,05;36166,80;29322,16;54142,32;34175,30;3042324,72
"430040 Alegrete";294397,38;230721,57;267099,02;255336,12;287112,57;260378,18;314236,06;274918,99;259507,17;318419,70;336072,98;333399,65;303468,92;270395,50;309519,47;341757,71;307088,68;303712,09;379966,08;493482,73;462101,55;490129,38;489188,04;461159,71;518834,82;371699,45;507110,12;476122,04;423362,06;521759,44;479398,09;451396,94;463777,80;511143,01;539931,16;443375,45;447650,44;434531,94;495915,72;481399,98;445149,35;507864,58;530182,87;507911,48;446817,92;454222,77;457732,14;422476,11;477066,29;458684,17;496664,24;470866,00;521650,04;520359,95;511742,11;438018,89;476601,78;496578,92;456776,92;421316,91;406234,56;479202,79;457092,67;554223,37;467570,87;562924,92;577377,19;500703,18;526076,38;493316,47;497424,46;455957,76;491849,57;474807,33;546054,95;529273,22;550838,25;504014,69;531657,78;537963,45;524227,62;548970,35;511296,72;524098,67;515411,99;535859,93;499548,59;504267,77;500618,91;539624,90;449070,56;551505,92;473165,96;463471,95;487808,01;512509,66;368775,93;384118,83;408100,69;383537,08;461533,64;418906,18;330656,87;313286,31;477324,37;408743,59;380017,08;501404,63;531882,07;348652,28;446806,65;381357,10;527084,24;531441,06;505314,61;497647,16;526370,15;571238,30;529380,39;485840,05;529409,97;509999,32;443882,62;418531,56;533333,72;556732,52;556580,52;514164,02;552761,21;545202,83;467669,96;494944,88;499203,07;467356,32;469769,90;525288,50;503037,41;496086,48;494098,90;495737,70;530645,09;572314,25;554265,10;488634,34;477393,52;499886,56;470486,70;328154,72;516893,96;532781,90;715492,89;719501,47;706091,93;649878,44;710136,23;749658,90;829048,58;873058,53;1279580,95;1116976,32;77529773,57
"430045 Alegria";7732,34;6751,99;7327,84;6936,53;7957,83;7477,27;3009,77;9770,91;8212,25;4451,22;7275,95;5078,59;7001,17;4180,84;4152,79;6716,63;4220,03;9148,55;4212,80;5037,24;5141,55;4009,41;8078,48;4991,00;4485,18;4804,53;3162,27;4555,88;6127,99;5987,66;5046,88;6232,22;4538,50;4057,89;6514,06;4328,49;4804,96;3514,89;1940,05;3180,45;3901,81;4856,25;4283,05;4384,01;3789,39;986,79;1376,98;2849,22;2523,13;1633,62;1244,84;2121,05;1966,05;3084,76;1277,63;1252,84;639,43;392,80;1797,92;-;1198,57;278,74;2154,85;2812,78;1636,80;1029,86;1627,22;5952,44;1736,98;2738,80;667,49;2037,60;803,55;1642,08;4260,46;2514,33;186,06;793,76;1696,66;5002,38;2810,53;1933,99;3440,83;1094,72;227,44;1987,83;1048,84;1212,84;2802,53;2138,86;437,49;2839,47;971,18;897,05;1144,22;1119,93;1668,93;1310,86;1512,83;1034,44;431,44;2836,42;2163,00;2540,05;1301,48;-;3385,44;540,68;1969,23;1976,30;2286,19;2663,55;864,08;1236,84;559,21;1295,94;262,12;786,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;366021,36
"430050 Alpestre";19689,18;21770,04;24867,14;22873,39;23482,25;20888,82;19143,16;17019,00;18541,03;19409,14;15163,96;20025,59;18247,15;16948,84;27333,09;20192,66;20605,54;17028,22;23336,59;22378,99;28520,42;19961,09;24115,07;19384,34;24824,33;19858,53;19521,28;22208,55;21458,03;20466,41;16741,21;20687,96;21576,34;21702,41;19321,04;20523,40;17262,48;16577,26;24365,57;20824,85;7322,57;27726,37;16128,51;18165,96;18607,76;21456,52;17234,53;21734,62;19930,11;24256,87;14958,14;17617,11;18184,40;20946,18;17795,40;18692,01;17978,43;13214,94;15644,58;16378,96;18250,43;13050,00;13163,29;12457,15;13937,10;10379,64;12960,50;12204,13;6059,37;19711,89;11562,53;9165,89;5535,45;8320,11;7990,08;16670,01;15579,29;16788,67;16096,01;18687,77;17766,23;31875,56;23023,15;21487,42;19890,27;12755,24;13594,15;13904,22;19045,75;28772,16;15443,68;17009,78;21977,99;23737,02;18961,80;23434,97;18808,75;11610,97;16033,59;12443,31;16568,84;9663,40;9574,02;24629,70;22341,18;16544,07;22782,27;18449,34;10996,60;15754,74;17759,96;18879,29;19134,42;21702,31;23384,44;22220,42;18801,88;15801,78;34700,46;31777,51;11710,82;10602,97;14519,14;12520,11;15922,91;17761,82;25795,70;16100,67;14686,53;16266,86;14684,30;21382,31;11962,69;11955,73;15382,20;12444,50;15529,16;16214,17;15139,72;14472,00;14325,59;19548,11;10653,48;19641,66;10543,97;12417,50;13893,67;13561,12;7767,77;16316,97;13719,61;16367,86;15217,83;15418,11;13470,57;20108,00;11587,98;11038,34;28589,89;18942,81;2832615,42
"430060 Alvorada";-;358326,86;268497,41;280706,96;243043,30;308883,31;326240,62;223717,74;239036,84;243835,18;286493,74;324090,84;234603,51;282360,81;419575,72;319446,97;353993,01;406638,49;414651,73;367831,85;358630,01;285041,94;362803,72;336615,89;297388,53;400195,99;326293,11;383465,60;309716,74;398953,97;392497,83;379427,63;363594,40;318235,87;323831,74;309964,89;352474,74;380975,58;375244,70;372726,34;394921,66;426063,77;395663,32;336880,05;423719,97;290339,96;441341,78;358509,31;373046,92;403428,73;359939,05;364358,56;396880,85;409926,55;400897,13;413630,57;402158,04;435545,30;412963,73;344084,04;378117,94;358934,06;396228,43;420966,44;398310,75;403810,06;444375,28;442890,50;399238,58;372959,98;421623,76;332448,67;426956,16;359397,34;416816,50;381439,32;453695,43;370039,64;478856,59;390280,59;409845,49;399009,74;348058,74;406943,25;383209,14;404052,27;393438,84;471932,70;471604,30;482928,35;426646,96;441984,54;432366,37;377569,61;444077,28;424145,63;400644,93;387921,80;398567,11;449292,65;503222,37;420071,67;401000,89;396100,35;454028,48;445619,18;360030,38;453634,78;402557,85;443099,41;470710,91;346527,96;583497,48;428428,24;487541,03;471233,33;413926,97;360031,09;443553,50;423174,31;396978,79;357170,53;457038,57;420012,68;415447,77;396653,04;551190,31;463824,43;417562,48;457227,49;377982,44;333449,22;443224,43;346208,31;402225,67;414364,96;430359,77;404826,82;474928,36;411467,61;413724,47;385298,26;343151,82;274866,88;488245,33;374829,21;367345,14;358728,61;355137,68;362230,41;363463,74;473091,46;395524,17;433616,42;403040,30;381765,96;506168,27;452120,03;763854,39;626970,20;62719285,73
"430063 Amaral Ferrador";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5252,51;3698,95;1210,82;621,58;957,37;-;1494,30;981,97;1040,39;1271,38;2201,81;2537,64;1162,67;2844,99;981,97;1665,86;1005,56;479,19;1612,39;2002,04;1800,31;107,31;503,19;958,38;359,91;-;-;1810,47;990,38;821,77;479,19;-;-;479,19;1429,11;503,19;1683,62;1361,82;649,73;186,06;-;205,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1194,34;941,97;1611,98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51100,98
"430064 Ametista do Sul";13664,03;17023,98;14236,35;16650,67;20984,19;15573,41;16956,30;15502,50;26128,89;22602,07;18610,02;17926,57;26459,59;19249,98;25261,82;30452,27;22428,23;28734,49;25913,43;27642,86;27879,38;29708,68;27535,76;22618,42;20209,59;20120,02;20670,01;28539,35;21834,73;26579,78;18593,07;20964,86;22688,09;22078,06;19743,81;18689,34;23092,34;15265,33;17972,87;23439,66;11966,88;29369,32;17156,05;16874,33;17694,79;18667,88;20878,93;10817,32;14796,35;24864,32;18345,57;17931,16;15593,31;15417,12;16624,88;12321,66;15443,94;9727,65;8894,66;9152,55;7683,67;6354,97;7416,13;10851,75;4151,33;6921,05;3291,32;11112,10;2573,88;12195,71;20548,73;15593,78;14035,36;15936,67;5473,87;13237,67;7161,74;12421,13;9377,82;7992,88;972,53;22090,83;11456,15;10775,19;10830,05;503,19;9486,82;11698,35;10598,89;8280,78;11504,80;15633,23;16019,66;15237,15;11311,50;7022,14;8408,61;8997,56;12453,16;9307,54;5913,26;6025,67;9891,73;9459,82;13358,26;8897,02;10071,11;4471,43;8347,71;9357,91;6665,75;12335,06;13659,41;14365,57;19001,58;16227,60;14862,65;17993,60;15650,46;13704,76;13723,91;12677,99;14488,47;10358,94;18395,05;16736,71;22133,17;18729,31;16390,72;20013,92;22144,38;16744,04;16236,90;17967,06;14540,13;18226,60;19477,58;19652,33;21874,52;17769,73;21764,31;19571,02;18713,12;17605,87;16111,88;15101,31;22011,78;13780,22;8015,45;8186,73;7448,54;17996,23;11896,62;19471,90;16250,89;25124,80;25182,51;22983,84;30426,14;36646,20;2552514,34
