 População Residente - Estimativas para o TCU - Rio Grande do Sul
População estimada por Município e Ano
Período:2000-2019
"Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"430003 Aceguá";-;3970;4002;4036;4109;4149;4188;4138;4312;4347;4394;4430;4465;4638;4671;4702;4731;4759;4858;4901
"430005 Água Santa";4569;3826;3852;3880;3940;3973;4006;3565;3638;3619;3726;3717;3712;3838;3839;3840;3841;3841;3753;3748
"430010 Agudo";16013;17533;17610;17682;17833;17917;18000;16714;17114;17063;16729;16666;16612;17161;17140;17120;17102;17085;16524;16461
"430020 Ajuricaba";7762;7660;7627;7588;7508;7463;7419;7261;7411;7374;7255;7221;7187;7420;7403;7387;7372;7358;7063;7024
"430030 Alecrim";8701;8287;8144;7984;7650;7465;7281;7357;7380;7259;7045;6935;6828;7010;6935;6865;6799;6736;6077;5950
"430040 Alegrete";85137;85030;85527;86078;87236;87877;88513;78188;79548;78984;77673;77140;76644;79054;78768;78499;78244;78003;74173;73589
"430045 Alegria";5323;5241;5182;5096;4916;4816;4717;4789;4834;4775;4301;4220;4141;4244;4188;4135;4085;4037;3559;3464
"430047 Almirante Tamandaré do Sul";-;2267;2288;2310;2357;2383;2408;2158;2212;2208;2062;2054;2041;2106;2098;2091;2085;2079;1979;1964
"430050 Alpestre";10323;9847;9571;9249;8572;8198;7826;8972;9017;8880;8027;7856;7689;7871;7752;7640;7533;7433;6458;6258
"430055 Alto Alegre";2039;2135;2137;2136;2136;2136;2136;1940;1965;1945;1848;1826;1805;1856;1841;1828;1815;1803;1663;1638
"430057 Alto Feliz";2363;2833;2844;2849;2859;2864;2869;2934;3048;3067;2908;2924;2930;3035;3017;3025;3032;3040;3020;3028
"430060 Alvorada";179814;188756;192789;196882;205476;210233;214953;207142;211276;213894;195718;196572;197441;204750;205683;206561;207392;208177;209213;210305
"430063 Amaral Ferrador";4831;5719;5703;5685;5649;5629;5609;6232;6527;6602;6355;6401;6446;6693;6737;6778;6817;6854;6974;7031
"430064 Ametista do Sul";7687;7542;7624;7722;7927;8040;8152;8058;8440;8538;7323;7317;7310;7560;7565;7569;7573;7576;7416;7409
"430066 André da Rocha";1139;1120;1127;1133;1147;1154;1162;1206;1262;1276;1216;1224;1232;1278;1286;1293;1300;1306;1324;1333
"430070 Anta Gorda";6315;6299;6285;6266;6225;6203;6181;6163;6331;6326;6073;6054;6035;6235;6228;6222;6216;6210;6003;5981
"430080 Antônio Prado";13150;13154;13324;13512;13908;14127;14344;13591;14159;14274;12837;12827;12821;13263;13274;13285;13296;13306;13055;13050
"430085 Arambaré";3674;4026;4105;4192;4375;4476;4577;3825;3931;3929;3693;3676;3660;3778;3769;3762;3755;3748;3600;3581
"430087 Araricá";3691;4149;4257;4361;4580;4701;4821;4781;5078;5181;4868;4928;4990;5195;5249;5301;5349;5395;5622;5698
"430090 Aratiba";6979;7013;6942;6861;6692;6598;6505;6616;6735;6690;6568;6523;6482;6687;6663;6641;6621;6601;6283;6235
"430100 Arroio do Meio";17194;17219;17417;17633;18086;18337;18587;18079;18878;19059;18783;18924;19060;19792;19923;20045;20162;20272;20637;20805
"430107 Arroio do Padre";-;2597;2623;2650;2708;2739;2771;2734;2855;2882;2730;2743;2756;2857;2871;2883;2895;2906;2921;2937
"430105 Arroio do Sal";4569;5535;5745;5964;6423;6678;6930;6635;7109;7291;7744;7930;8113;8488;8641;8785;8921;9050;9842;10065
"430120 Arroio do Tigre";11933;12258;12292;12327;12401;12442;12483;12638;13126;13208;12648;12742;12774;13235;13277;13316;13353;13388;13332;13373
"430110 Arroio dos Ratos";14051;13524;13653;13800;14110;14282;14452;13619;14114;14181;13608;13627;13647;14132;14166;14197;14227;14255;14123;14151
"430130 Arroio Grande";19123;19280;19363;19461;19666;19780;19893;18358;18801;18748;18469;18418;18368;18979;18964;18949;18935;18922;18351;18293
"430140 Arvorezinha";10465;10306;10358;10402;10495;10547;10598;10210;10530;10548;10229;10223;10220;10573;10585;10595;10605;10614;10425;10424
"430150 Augusto Pestana";8574;7790;7781;7772;7755;7746;7735;7273;7408;7361;7097;7042;6990;7206;7175;7145;7117;7091;6706;6661
